SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100;2150
SSP1;CHA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.50E-01;8.15E-01;1.31E+00;1.80E+00;1.80E+00;1.80E+00
SSP1;DEU;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.29E-01;4.32E-01;7.34E-01;1.00E+00;1.00E+00
SSP1;ECE;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.55E-01;5.78E-01;1.00E+00;1.00E+00;1.00E+00
SSP1;ECS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;9.31E-02;4.28E-01;7.63E-01;1.00E+00;1.00E+00
SSP1;ENC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.16E-01;6.08E-01;1.00E+00;1.00E+00;1.00E+00
SSP1;ESC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.36E-01;4.50E-01;7.63E-01;1.00E+00;1.00E+00
SSP1;ESW;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.08E-02;1.16E-01;3.52E-01;5.87E-01;1.00E+00;1.00E+00
SSP1;EWN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;8.79E-02;2.64E-01;4.39E-01;1.00E+00;1.00E+00
SSP1;FRA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.40E-02;1.68E-01;5.42E-01;9.16E-01;1.00E+00;1.00E+00
SSP1;IND;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.00E-01;3.44E-01;5.87E-01;1.00E+00;1.00E+00
